id,movie_name,ranking,release_year,release_time,type,format,country,director_id,director_name,star1_id,star1_name,star2_id,star2_name,boxoffice
595601,光棍终结者,120,2011,2011/11/11,爱情,2D,中国,1004,赵非 Fei Zhao,39265,段钧豪 Chun-hao Tuan,68,周韦彤 Weitong Zhou,120
596433,双人床条约,110,2011,2011/12/30,爱情/喜剧,2D,中国,3926,吴卫东 Weidong Wu,1859833,刘威葳 Vieven Liu,1866913,李彧 Yu Li,170
589320,跟踪孔令学,100,2011,2011/4/30,喜剧/悬疑,2D,中国,1866436,张骁 Rao Zhang,1871486,孙宁 Ning Sun,2177447,白卉子 Huizi Bai,271
588935,不怕贼惦记,90,2011,2011/12/9,喜剧/悬疑,2D,中国,2011580,许传海 HuChuanHai,1866692,岳秀清 Xiuqing Yue,13918,应采儿 Cherrie Ying,389
589061,我们约会吧,80,2011,2011/2/13,爱情,2D,中国,17083,周楠 Nan Zhou,1941433,丹尼斯·吴 Dennis Joseph O'neil,1903089,李菲儿 Feier Li,523
589639,李献计历险记,70,2011,2011/10/1,爱情/幻想/冒险,2D,中国,2013197,郭帆 Frant Gwo,38584,王子文 Fiona Wang,5340,姚橹 Lu Yao,830
588765,夜惊魂,69,2011,2011/4/2,惊悚/恐怖,2D,中国,1866688,许斌 Bin Xu,7414,林申 Shen Lin,1865989,曹卫宇 Weiyu Cao,839
593078,遍地狼烟,68,2011,2011/12/2,动作/爱情,2D,中国,4887,胡大为 David Wu,93,宋佳 Jia Song,323,梁家辉 Tony Leung,880
595222,梦游3D,67,2011,2011/10/27,惊悚/悬疑,2D/3D,中国/中国香港,16123,彭顺 Oxide Pang Chun,31479,霍思燕 Siyan Huo,1868257,李宗翰 Calvin Li,897
588610,回马枪,66,2011,2011/7/15,喜剧/动作/犯罪,2D,中国,6154,李远 Yuan Li,88,伊能静 Shizuka Inoh,2491,郑佩佩 Pei-pei Cheng,908
590026,巨额交易,65,2011,2011/12/2,爱情/喜剧/冒险,2D,中国,11085,马俪文 Liwen Ma,1865210,蓝正龙 Blue,3784,杜汶泽 Chapman To,918
594291,午夜凶梦,64,2011,2011/11/25,惊悚/恐怖,2D,中国,15841,叶伟英 Wai Ying Yip,117,关智斌 Kenny Kwan,1866107,周显欣 Xianxin Zhou,923
588854,致命请柬,63,2011,2011/3/4,惊悚/悬疑,2D,中国,1863178,孙小光 Xiaoguang Sun,1866893,胡桑 Sang Hu,2177594,焦婷 Ting Jiao,1032
593844,紫宅,62,2011,2011/9/23,爱情/惊悚,2D,中国,4812,潘恒生 Hang-Sang Poon,1903041,佟丽娅 Liya Tong,1903037,何晶晶 Jingjing He,1041
589663,大人物,61,2011,2011/3/11,喜剧,2D,中国,1866143,谭华 Hua Tan,6065,林子聪 Chi Chung Lam,1863727,金沙 King Sarr,1070
573365,歼十出击,79,2011,2011/3/10,动作,2D,中国,7539,宁海强 Haiqiang Ning,1166,黄奕 Yi Huang,1867474,王斑 Ban Wang,541
