id,movie_name,ranking,release_year,release_time,type,format,country,director_id,director_name,star1_id,star1_name,star2_id,star2_name,boxoffice
626153,美人鱼,1,2016,2016-2-8（中国）,喜剧/爱情/科幻/怀旧,3D,中国/中国香港,6060,周星驰 Stephen Chow,5302,邓超 Chao Deng,8659,张雨绮 Kitty Zhang,338935
626346,西游记之孙悟空三打白骨精,2,2016,2016-2-8（中国）,奇幻/动作/喜剧,3D/IMAX,中国,113,郑保瑞 Soi Cheang,408,巩俐 Li Gong,1903012,冯绍峰 Shaofeng Feng,120067
637759,澳门风云3,3,2016,2016-2-8（中国）,动作/喜剧/冒险,2D/3D,中国/中国香港,15321,王晶 Jing Wong,2079,刘德华 Andy Lau,956,张家辉 Nick Cheung,111776
639351,功夫熊猫3,4,2016,2016-1-29（中国）,动画/动作/冒险/喜剧,2D/3D/IMAX,中国/美国,2228030,亚力山德罗·卡罗尼 Alessandro Carloni,119251,安吉丽娜·朱莉 Angelina Jolie?(voice),46318,达斯汀·霍夫曼 Dustin Hoffman?(voice),99884
610219,叶问3,5,2016,2016-3-4（中国）,动作/传记,2D/3D,中国/中国香港,2230,叶伟信 Wilson Yip,6161,张晋 Max Zhang,1947849,熊黛林 Lynn Hung,80211
640206,熊出没之熊心归来,6,2016,2016-1-16（中国）,动画/喜剧/冒险,2D/3D,中国,17703,丁亮 Liang Ding,2245116,张秉钧 Zhang Bingjun?(voice),2176877,谭笑 Xiao Tan?(voice),28766
618023,卧虎藏龙：青冥宝剑,7,2016,2016-2-19（中国）,动作/冒险,3D/IMAX,中国/美国,3500,袁和平 Woo-ping Yuen,1577,杨紫琼 Michelle Yeoh,2199161,岑勇康 Harry Shum Jr.,25616
633345,最后的巫师猎人,8,2016,2016-1-15（中国）,动作/冒险,2D,中国/美国/加拿大,377779,布瑞克·埃斯纳尔 Breck Eisner,2178464,萝斯·莱斯利 Rose Leslie,132621,伊利亚·伍德 Elijah Wood,17983
628035,我的特工爷爷,9,2016,2016-4-1（中国）,动作/惊悚/悬疑,2D,中国/中国香港,2771,洪金宝 Sammo Hung,3943,李勤勤 Qinqin Li,2181011,冯嘉怡 Jiayi Feng,17408
617763,火锅英雄,10,2016,2016-4-1（中国）,爱情/动作/喜剧/友情,2D,中国,2014474,杨庆 YangQiang,1903494,白百何 Fay Bai,1867303,秦昊 Qin Hao,14823
628676,高跟鞋先生,11,2016,2016-2-14（中国）,喜剧/爱情,2D,中国,2024120,陆可 Ke Lu,22896,薛凯琪 Fiona Sit,8838,李媛 Yuan Li,12991
640866,极限挑战之皇家宝藏,12,2016,2016-1-15（中国）,喜剧/悬疑/真人秀,2D,中国,2235408,严敏 Yan Min,1210,孙红雷 Honglei Sun,547,黄磊 Lei Huang,12548
627347,小门神,13,2016,2016-1-1（中国）,动画/喜剧,2D/3D,中国,2178568,王微 Wei Wang,2202959,白客 Ke Bai?(voice),2243304,于心怡 Yu Xinyi?(voice),7868
637810,睡在我上铺的兄弟,14,2016,2016-4-1（中国）,爱情/怀旧,2D,中国,1869072,张琦 Qi Zhang,1865653,秦岚 Lan Qin,2180785,杜天皓 Tianhao Du,7253
637761,消失爱人,15,2016,2016-1-15（中国）,爱情/悬疑,2D,中国,15197,黄真真 Babara Wong,1866377,王珞丹 Luodan Wang,1859868,林俊杰 JJ Lin,6417
637664,女汉子真爱公式,16,2016,2016-3-18（中国）,喜剧/励志/爱情,2D,中国,2240549,郭大雷 Zorro,1888479,张翰 Han Zhang,2184833,童菲 Kimmy,6302
