@relation 'train_data_4-weka.filters.unsupervised.attribute.NumericToNominal-R1-7,11-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute id {718,852,7954,346818,385808,555839,558001,559886,566084,566774,572854,572979,573026,573365,573367,573396,573415,573566,573874,573880,573890,573920,573957,573968,573978,579274,587699,587713,587734,587766,587840,587844,587986,588037,588262,588292,588421,588435,588446,588477,588488,588492,588502,588510,588511,588514,588549,588593,588610,588622,588648,588691,588724,588746,588765,588802,588808,588854,588861,588865,588867,588879,588931,588934,588935,588953,589061,589109,589144,589150,589159,589209,589237,589310,589320,589349,589389,589472,589482,589501,589502,589509,589524,589540,589639,589645,589662,589663,589715,589718,589740,589743,589748,589797,589808,589810,589812,589821,589822,589827,589829,589844,589847,589861,589875,589879,589892,589895,589925,589926,589938,589941,590015,590026,590044,590079,590133,590196,590231,590255,590260,590269,590270,590292,590296,590327,590329,590338,590371,590372,590399,590452,590503,590512,590518,590519,590528,591749,591755,591766,591772,591775,591779,592018,592163,592190,592214,592255,592414,592438,592544,592682,592683,592690,592765,592893,592909,593078,593140,593204,593283,593511,593535,593618,593757,593811,593828,593829,593838,593844,593882,593888,593891,593903,593912,593928,593935,593938,593944,593948,593979,594006,594008,594047,594117,594144,594163,594201,594218,594291,594309,594313,594343,594369,594371,594375,594376,594393,594456,594581,594589,594600,594624,594650,594660,594661,595180,595188,595191,595213,595220,595222,595226,595235,595595,595601,595603,595606,595608,595634,595639,595726,595753,595767,595797,595851,595854,595855,595857,595867,595928,596038,596041,596043,596049,596052,596060,596062,596069,596088,596097,596098,596122,596123,596267,596269,596275,596283,596290,596382,596387,596393,596398,596403,596405,596408,596410,596419,596429,596433,596436,596448,596524,596538,596542,596552,596555,596560,596563,596569,596592,596607,596609,596648,596734,596765,596789,596800,596830,596882,596887,596913,596965,596973,597039,597089,597096,597102,597187,597203,597207,597213,604335,605129,607245,607363,608116,608149,608188,608197,608213,608215,608228,608234,608237,608245,608248,608255,608944,608979,609005,609014,609017,609069,609111,609134,609318,609338,609600,609644,609692,610009,610041,610046,610050,610079,610087,610103,610215,610352,610355,610434,610462,610486,610627,610839,610867,610881,610924,610928,610945,610950,610952,610953,610966,611103,611156,611200,611209,611212,611266,611324,611325,611327,611357,611503,611550,611557,611571,611576,611580,611587,611718,611748,611817,611906,612022,612087,612089,612120,612121,612123,612124,612127,612232,612243,612246,612309,612420,612422,612427,612432,612577,612621,612627,612628,612655,612667,612672,612679,612683,612702,612707,612723,612734,612736,612739,612772,612790,612791,612885,612957,613011,613091,613096,613384,613385,613404,613414,613457,613459,613462,613467,613476,613518,613534,613553,613569,613812,613819,613851,613854,613961,614086,614154,614212,614213,614214,614215,614304,614305,614325,614334,614346,614359,614395,614532,614536,614548,614568,614577,614593,614660,614757,614775,614827,614829,614855,614981,615111,615125,615131,615152,615230,615231,615300,615430,615451,615471,615487,615635,615672,615767,615788,615796,615831,615840,615855,615868,616067,616113,616145,616185,616252,616332,616356,616380,616397,616427,616513,616515,616526,616527,616528,616548,616712,616714,616718,616735,616743,616769,617126,617127,617149,617154,617155,617157,617159,617165,617176,617189,617190,617250,617257,617267,617277,617278,617321,617329,617336,617351,617356,617372,617391,617392,617393,617485,617565,617600,617612,617699,617702,617706,617707,617708,617710,617712,617756,617807,617809,617813,617988,618013,618038,618096,618101,618111,618119,618156,618179,618187,618253,618287,618308,618352,618370,618380,618400,618415,618441,618516,618518,618528,618532,618533,618610,618612,618615,618625,618626,618734,618816,618944,618962,619126,619144,619227,619293,619444,619597,619619,619651,625695,625897,625912,625944,626107,626108,626126,626129,626279,626314,626350,626353,626377,626390,626503,626506,626514,626573,626598,626612,626697,626778,626876,626880,626911,626950,626986,626992,627004,627006,627008,627009,627016,627025,627027,627038,627089,627094,627338,627357,627393,627447,627482,627543,627548,627562,627594,627601,627626,627643,627764,627766,627797,627833,627857,627872,627886,627896,627903,628118,628125,628127,628128,628129,628133,628143,628144,628171,628178,628183,628250,628326,628375,628411,628594,628596,628715,628739,628791,628823,628824,628993,628995,628999,629000,629003,629068,629090,629157,629176,629335,629338,629410,629414,629427,629449,629461,629465,629493,629494,629498,629560,629580,629659,629752,629797,629845,629871,629873,629874,629949,629956,630044,630081,630094,630111,630112,630178,630414,630468,630478,630484,630504,630506,630519,630521,630553,630555,630556,630582,630765,630772,630887,630911,630935,631012,631030,631060,631109,631264,631292,631302,631325,631343,631359,631360,631436,631690,631787,631838,632370,636000,637578,637665,637666,637793,637829,637885,638253,638277,638389,638406,638409,638426,638432,638434,638436,638443,638444,638445,638614,638658,638747,638757,638821,638879,638985,638989,638997,639002,639004,639010,639056,639124,639128,639256,639363,639397,639413,639428,639469,639634,639642,639837,639859,639889,640214,640376,640871,640883,641095,641422,641972,642050}
@attribute type {0,1,2,3,4,5,6,7,8,9,10}
@attribute country {0,1,2,3}
@attribute releaseYear {0,1,2,3,4}
@attribute period {0,1,2}
@attribute is3D {0,1}
@attribute isIMAX {0,1}
@attribute dirBoxIndex numeric
@attribute starOneBoxIndex numeric
@attribute starTwoBoxIndex numeric
@attribute boxClass {0,1,2,3}

@data
627357,6,0,3,0,0,0,0.014531,0.006216,0.006869,1
590518,7,0,0,0,0,0,0.062842,0.054808,0.187123,1
590519,2,0,1,1,0,0,0.001302,0.027068,0.207746,0
617612,3,0,4,0,0,0,0.005341,0.142151,0.092746,1
596765,2,0,2,2,0,0,0.00274,0.00113,0.123976,0
590512,1,2,1,2,0,0,0.169868,0.185049,0.261913,2
614359,2,0,3,2,0,0,0.000807,0.000333,0.000333,0
640871,3,0,4,0,0,0,0.00439,0.001809,0.001809,1
615451,0,0,2,0,0,0,0.007644,0.542136,0.003151,1
617600,2,0,3,0,0,0,0.009371,0.077814,0.037533,1
615430,1,2,3,2,0,0,0.656233,0.185049,0.189054,2
610046,1,0,2,0,0,0,0.000565,0.074074,0.000179,0
590503,3,2,1,0,0,0,0.03924,0.49621,0.008966,1
614346,1,2,2,0,1,0,0.101702,0.615513,0.067406,2
627338,7,0,3,0,0,0,0.001953,0.020178,0.00622,0
610041,3,0,1,2,0,0,0,0,0,0
592438,4,1,2,2,0,0,0.054998,0.124635,0.087946,2
640883,3,0,4,0,0,0,0.003634,0.000787,0.000787,0
614395,1,1,4,0,1,0,0.00924,0.090381,0.140885,1
596789,9,0,2,1,0,0,0.001016,0.000917,0.10043,0
615487,1,1,3,0,0,1,0.155104,0.141362,0.214856,2
589501,0,2,1,0,1,0,0.858231,0.095784,0.59879,2
589502,2,2,0,2,0,0,0.0683,0.66347,0.410257,1
631264,1,0,4,0,0,0,0.25257,0.207336,0.03063,2
589472,0,2,0,0,0,0,0.218868,0.230487,0.511641,2
631292,1,0,4,0,0,0,0.029073,0.068994,0.225941,0
592414,0,0,0,0,0,0,0.103201,0.73782,0.177056,2
610009,2,0,1,0,0,0,1,1,0.222018,3
615471,0,0,2,0,0,0,0.103201,0.558778,0.130061,1
589482,1,2,0,0,0,0,0.337854,0.276126,0.546436,2
589524,7,2,1,0,0,0,0.059583,0.687282,0.008182,1
596830,2,2,1,0,0,0,0.0683,0.081359,0.105072,1
589509,1,0,2,0,1,0,0.014859,0.542136,0.006125,1
629335,0,0,4,0,0,0,0.272313,0.73782,0.037716,1
627393,0,0,4,0,0,0,0.107886,0.524127,0.541516,2
612123,1,0,3,1,1,0,0.136217,0.448097,0.064625,2
629338,0,0,4,0,0,0,0.007552,0.08454,0.00583,1
612120,1,2,2,0,0,0,0.128208,0.182111,0.323521,2
612121,1,2,2,0,1,0,0.059583,0.182111,0.18591,2
596800,0,2,2,0,0,0,0.167933,0.144168,0.105072,2
612127,1,2,3,0,0,1,0.265029,0.182111,0.420984,2
612124,3,0,1,0,0,0,0.008232,0.374703,0.004013,0
617707,0,0,3,1,0,0,0.008516,0.019658,0.374703,1
617706,2,0,2,0,0,0,0.002387,0.000607,0.01343,0
617708,0,2,3,0,0,0,0.239256,0.113594,0.166876,2
614334,0,0,2,0,0,0,0.014468,0.446952,0.017254,1
617710,2,0,2,0,0,0,0.165769,0.006731,0.058239,1
617699,0,2,2,0,0,0,0.000411,0.001159,0.000169,0
627447,0,2,4,0,0,0,0.008436,0.396323,0.003477,1
614325,0,0,2,0,0,0,0.001823,0.002293,0.000751,0
617702,2,1,4,0,1,0,0.204996,0.29154,0.220965,2
589540,0,0,0,0,0,0,0.001383,0.035616,0.009696,0
590528,7,0,1,0,0,0,0.001505,0.000561,0.004221,0
614304,0,0,2,0,0,0,0.00042,0.000173,0.000173,0
617712,2,0,2,1,0,0,0.001642,0.687282,0.374703,0
614305,0,0,2,0,0,0,0.616081,0.189923,0.542136,2
596887,0,0,2,2,0,0,0.001503,0.005248,0.000788,0
590399,8,0,0,1,0,0,0.004052,0.044243,0.000174,1
631109,7,0,4,0,0,0,0.003248,0.001339,0.004454,0
596882,7,0,1,0,0,0,0.002742,0.000336,0.000336,0
592544,0,3,2,2,0,0,0.304228,0.140195,0.030831,2
617485,7,0,3,0,0,0,0.061602,0.172142,0.023816,1
614215,7,0,1,0,0,0,0.000913,0.007767,0.000771,0
614214,0,0,1,0,0,0,0.006919,0.013271,0.000339,0
589320,2,0,0,0,0,0,0.000665,0.001057,0.000274,0
614213,7,0,2,0,1,0,0.003239,0.000924,0.000643,0
614212,7,0,2,0,0,0,0.004191,0.035616,0.006554,1
612309,1,2,3,0,0,0,0.098159,0.065018,0.020515,0
590372,6,0,2,2,1,0,0.020415,0.013608,0.002466,0
590371,2,2,0,0,0,0,0.0466,0.02209,0.023966,1
596913,7,0,1,0,0,0,0.020728,0.037827,0.003981,1
629414,0,1,4,1,0,0,0.02577,0.22108,0.010623,1
629410,2,0,4,1,0,0,0.439961,0.410637,0.66347,3
566084,1,1,1,0,0,0,0.039651,0.061477,0.143297,2
629427,1,0,4,2,0,0,0.000939,0.000387,0.00484,0
589349,5,2,3,2,1,0,0.579027,0.454304,0.29154,3
590338,2,0,1,0,0,0,0.008435,0.004555,0.068994,1
629449,7,0,3,0,0,0,0.001734,0.019658,0.019122,0
612232,4,1,3,0,1,0,0.935425,0.278914,0.296064,3
615635,6,0,2,0,1,0,0.077042,0.013608,0.012435,1
590452,9,0,0,0,0,0,0.008232,0.054388,0.001951,1
